Andrei Amadeus Allister Annamarie Alastair
Annalisa Alethea Alycia Abrianna Annalie
Bearn Bat Botolf Berde Braen
Bedad Barram Barny Bab Bobbye
Eljas Eudes Eetu Eeturink Etna
Eshe Eliou Eino Earlena Elise
Hobbard Hodaiah Helkai Hafnar Hortensius 
Hepsiba Himayat Hoglah Henuite Henrika
Meda Malaya Marquise Magdalene Mansour
Maxfield Mack Mirren Mikala Manhattan
Wisler Whistler Wain Wirth Wentz
Westover Wyckoff Wasserman Westphal Wilden
Lalage Luellen Leis Lach Lawley
Loral Larrie Lamonte Lavan Larin
Tedric Tawni Tylisha Tarren Tayte
Treven Terris Tijana Tiphanie Telma
Ouimet Olstad Oxner Osmar Obert
Osmin Odel Ommar Osric Owin
Faerie Finis Faer Fletch Fjall
Frigga Fellah Fronde Felda Froth
Kimbro Kalb Kopecky Kafka Kristol
Kaoru Kwanza Kristoff Kirklin Kary
Yamin Yuill Youngdahl Youngerman Yahr
Yoakam Yearick Yamileth Yarely Yeshua

